"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS016876","OH0450000ALPR","Newark","Licking County","OH","Licking County Sheriff's Office","Sheriff","The Licking County Sheriff's Office operates 66 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016877","OH0410300ALPR","Steubenville","Jefferson County","OH","Steubenville Police Department","Police","The Steubenville Police Department operates 11 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016878","OH0410000ALPR","Steubenville","Jefferson County","OH","Jefferson County Sheriff's Office","Sheriff","The Jefferson County Sheriff's Office operates five Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016879","OH0380000ALPR","Holmesville","Holmes County","OH","Holmes County Sheriff's Office","Sheriff","The Holmes County Sheriff's Office operates 10 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016880","OH0360000ALPR","Hillsboro","Highland County","OH","Highland County Sheriff's Office","Sheriff","The Highland County Sheriff's Office operates eight Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016881","OH0350100ALPR","Napoleon","Henry County","OH","Napoleon Police Department","Police","The Napoleon Police Department operates four Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016882","OH0350000ALPR","Napoleon","Henry County","OH","Henry County Sheriff's Office","Sheriff","The Henry County Sheriff's Office operates two Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016883","OH0314400ALPR","Cincinnati","Hamilton County","OH","Green Township Police Department","Police","The Green Township Police Department operates 38 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016884","OH0313600ALPR","Wyoming","Hamilton County","OH","Wyoming Police Department","Police","The Wyoming Police Department operates eight Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016885","OH0312900ALPR","Reading","Hamilton County","OH","Reading Police Department","Police","The Reading Police Department operates four Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
