Player,Team,AVG,GP-GS,GP,GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"S. Stopp, NWOSU ",NWOSU ,0.213,26-17 ,26,17 ,47,5,10,2,0,0,8,12,0.255,6,4,18,0,0.351,0,1,0-0 
"A. Tittle, NWOSU ",NWOSU ,0.212,24-11 ,24,11 ,33,3,7,0,0,0,1,7,0.212,3,0,10,0,0.278,0,1,1-1 
"S. Clausen, SAU ",SAU ,0.212,26-16 ,26,16 ,52,8,11,2,0,1,8,16,0.308,4,1,16,0,0.281,0,0,1-1 
"A. Tidwell, HSU ",HSU ,0.211,27-16 ,27,16 ,19,6,4,0,0,0,0,4,0.211,3,3,4,0,0.4,0,1,4-6 
"J. Hart, UAM ",UAM ,0.207,41-35 ,41,35 ,82,11,17,4,1,0,3,23,0.28,9,2,18,0,0.301,0,1,8-9 
"M. Pack, NWOSU ",NWOSU ,0.205,22-13 ,22,13 ,39,2,8,3,0,0,1,11,0.282,3,1,13,0,0.279,0,1,1-1 
"R. Johnson, UAM ",UAM ,0.205,22-13 ,22,13 ,39,0,8,2,0,0,6,10,0.256,4,0,20,0,0.267,2,0,0-0 
"Laskowski, OKB ",OKB ,0.205,31-12 ,31,12 ,44,6,9,1,0,2,9,16,0.364,12,1,6,1,0.386,0,0,0-1 
"Feazle, Mckinley, ECU ","Mckinley, ECU ",0.204,33-19 ,33,19 ,49,8,10,1,0,0,6,11,0.224,2,0,17,0,0.235,0,2,1-1 
"C. Alexander, NWOSU ",NWOSU ,0.2,15-15 ,15,15 ,35,6,7,2,0,0,0,9,0.257,2,1,7,0,0.263,0,2,0-1 
"Stanford, OKB ",OKB ,0.2,40-6 ,40,6 ,30,15,6,2,0,1,4,11,0.367,2,0,8,0,0.25,0,1,2-2 
"B. Denney, NWOSU ",NWOSU ,0.2,14-12 ,14,12 ,25,1,5,1,0,0,1,6,0.24,2,0,9,0,0.259,0,0,1-1 
"C. Timmons, HU ",HU ,0.2,8-0 ,8,0 ,5,2,1,1,0,0,0,2,0.4,0,0,2,0,0.2,0,0,0-0 
"P. Norvelle, SNU ",SNU ,0.192,28-9 ,28,9 ,26,5,5,1,1,0,0,8,0.308,0,1,4,0,0.222,0,1,0-0 
"K. Simmons, SOSU ",SOSU ,0.191,22-19 ,22,19 ,47,4,9,0,0,0,2,9,0.191,8,0,10,0,0.309,0,1,0-1 
